what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434637408979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434637410410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434637426755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434637482576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434637483793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434637515560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434637516247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637518914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637521114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637533252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637534485
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434637534890
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434637536606
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434637538418
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434637544148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434637668423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637671732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637672683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637673494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637737360
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1434637786024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1434637790969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434637792172
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1434637795214
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1434637876817
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434637895759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637899737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434637937449
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434637937480
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1434637976501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434638015931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434638105395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434638138082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434638143761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434639406357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639407215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639473878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639478542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639497686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639503304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639553401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639555901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639558319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434639569054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639578009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639593724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434639600682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434639688474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434639696446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1434639737660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434639757553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434639822965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434639827244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434639844939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434639863398
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434639868441
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434639870018
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434639873063
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434639878011
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434639880491
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434639893475
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434639894707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639896251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639897156
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434639899060
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434639899840
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434639900620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639905272
